SoE Companion Material Tab Whitelist Audit

Purpose:
This file separates two ideas that the app currently mixes together:
1. Trackable materials: items SoE Companion can count, notify, or use for achievements.
2. Materials-tab storage items: items the in-game Materials tab will actually accept.

The stash sorter should only auto-route items to the Materials tab when they are in the confirmed Materials-tab storage whitelist.
Everything else should follow explicit user rules or stay untouched.

Current automatic Materials-tab logic in native/drop-hook-source/ijl11_grail.cpp:
- Any rune code r01-r33, including stacked variants like r01s.
- Any listed gem code, including stacked variants.
- Any listed known material code, including stacked variants, excluding known non-material-tab families.
- Any generic flp* stack wrapper whose display name contains one of the allowed material display strings.
- Boss essence codes only: tes, ceh, bet, fed.

High-risk broad display-name matches currently used by the hook:
- rune
- twisted essence
- charged essence
- burning essence
- festering essence

These broad display-name checks should not be trusted as the final Materials-tab whitelist.
The hook now blocks terrors, glyphs, chisels, Token of Absolution, Hatred Orbs, and Ascendancy/Soulstone items from the automatic Materials Tab path.

Current explicit codes the app thinks can auto-route to Materials tab:
Category	Item name / meaning	Filter code	Current source	Whitelist status
Uber Key	Key of Hate	pk2 / pk2s; wrapped as flpm in sorter logs	Native code list + loot filter + user confirmation	Confirmed material-tab
Uber Key	Key of Destruction	pk3 / pk3s; wrapped as flpm in sorter logs	Native code list + loot filter + user confirmation	Confirmed material-tab
Uber Organ	Diablo's Horn	dhn / dhns	Native code list + loot filter	Needs confirmation
Uber Organ	Baal's Eye	bey / beys	Native code list + loot filter	Needs confirmation
Uber Organ	Mephisto's Brain	mbr / mbrs	Native code list + loot filter	Needs confirmation
Potion	Full Rejuvenation Potion	rvl / rvls	Native code list + loot filter	Probably NOT material-tab
Potion	Rejuvenation Potion	rvs / rvss	Native code list + loot filter	Probably NOT material-tab
Crafting	Jewel Fragment	jewf / jewfs	Native code list + loot filter	Needs confirmation
Essence	All SoE essence codes es01-es61, es31	SoE 13 essence data	NOT material-tab
Hatred Orb	All Hatred Orb codes hor1-hor6	Native prefix handling	NOT material-tab
Ascendancy	Ascendancy Cairn	ascc	Native prefix/code handling	NOT material-tab
Ascendancy	Soulstone of Might	assc	Native prefix/code handling	NOT material-tab
Ascendancy	Any code beginning with as	Native prefix handling	NOT material-tab

Trackable app materials that should NOT automatically imply Materials-tab storage:
Category	Item name	Reason
Fate Card	All fate cards	Stored in shared stash item slots, not automatically routed by Materials tab.
Terror	All terror items	Trackable/currency-like, but not accepted by the Materials tab.
Glyph/Chisel	All glyphs and chisels	Trackable/currency-like, but not accepted by the Materials tab.
Token	Token of Absolution	Trackable, but not accepted by the Materials tab.
Hatred Orb	All Hatred Orbs	Grail/trackable items, but not accepted by the Materials tab.
Ascendancy	All Ascendancy items	Grail/trackable items, but not accepted by the Materials tab.
Runeword	All runewords	Manual grail completion only; not material-tab storage.
Unique/Set/Charm/Jewel	Most normal item drops	Can be tracked, but should follow user rules only.

Next implementation direction:
1. Create a shared `MATERIAL_TAB_ITEMS` whitelist with exact item names and exact item codes.
2. Use that whitelist for the Stash Sorter Automatic Materials Tab toggle.
3. Keep `MATERIAL_NAMES` for sounds, achievements, and overlays.
4. Remove broad automatic checks from `IsSorterAutomaticMaterialTabItem`; `es*`, `hor*`, and broad `as*` have been removed or blocked.
5. Keep user-created category rules separate from automatic material affinity.
